"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"Morepen Laboratories Limited","547953699","195371588","    35.65","352582111","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","44789001","521851098","8.58",,"23-Oct-2025 16:30:18"
"Motherson Sumi Wiring India Limited","6631661898","4093501740","    61.73","2538160158","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","77467248","6631653094","1.17",,"23-Oct-2025 16:30:54"
"Motilal Oswal Financial Services Limited","600509232","406492752","    67.69","194016480","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","12562524","600509231","2.09",,"23-Oct-2025 16:30:40"
"MphasiS Limited","190261721","76302162","    40.10","113959559","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","726645","190220979","0.38",,"23-Oct-2025 16:30:24"
"Mtar Technologies Limited","30759591","9660981","    31.41","21098610","1053000","    10.90","     3.42",,"23-Oct-2025 16:30:53","2234040","30759591","7.26",,"23-Oct-2025 16:30:53"
"Mukand Limited","144495563","107943650","    74.70","36551913","0","     0.00","     0.00",,"23-Oct-2025 16:30:30","2094916","144005848","1.45",,"23-Oct-2025 16:30:30"
"Mukta Arts Limited","22585200","15969290","    70.71","6615910","0","     0.00","     0.00",,"23-Oct-2025 16:30:27","381586","22575299","1.69",,"23-Oct-2025 16:30:27"
"Munjal Auto Industries Limited","100000000","74806450","    74.81","25193550","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","1313963","99095840","1.33",,"23-Oct-2025 16:30:35"
"Munjal Showa Limited","39995000","26004158","    65.02","13990842","0","     0.00","     0.00",,"23-Oct-2025 16:30:13","1063425","39744954","2.68",,"23-Oct-2025 16:30:13"
"Murudeshwar Ceramics Limited","60545260","44765125","    73.94","15780135","0","     0.00","     0.00",,"23-Oct-2025 16:30:14","472476","60257035","0.78",,"23-Oct-2025 16:30:14"
"Muthoot Finance Limited","401468476","294463872","    73.35","107004604","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","867062","401468411","0.22",,"23-Oct-2025 16:30:46"
"N R Agarwal Industries Limited","17019100","12613165","    74.11","4405935","12516998","    99.24","    73.55",,"23-Oct-2025 16:30:51","12672924","16792095","75.47",,"23-Oct-2025 16:30:51"
"NACL Industries Limited","201424812","106912581","    53.08","94512231","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","4566519","199190751","2.29",,"23-Oct-2025 16:30:51"
"NAVA LIMITED","283001276","141878388","    50.13","141122888","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","16767948","281830190","5.95",,"23-Oct-2025 16:30:22"
"NBCC (India) Limited","2700000000","1667368639","    61.75","1032631361","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","84808089","2699991873","3.14",,"23-Oct-2025 16:30:47"
"NCC Limited","627846588","138837733","    22.11","489008855","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","40607201","627269649","6.47",,"23-Oct-2025 16:30:18"
"NCL Industries Limited","45232790","18510520","    40.92","26722270","2732177","    14.76","     6.04",,"23-Oct-2025 16:30:38","5517130","44448090","12.41",,"23-Oct-2025 16:30:38"
"NDL Ventures Limited","33671621","22289334","    66.20","11382287","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","93613","33042498","0.28",,"23-Oct-2025 16:30:39"
"NELCO Limited","22818400","11428940","    50.09","11389460","0","     0.00","     0.00",,"23-Oct-2025 16:30:05","1531847","21758459","7.04",,"23-Oct-2025 16:30:05"
"NHPC Limited","10045034805","6770146458","    67.40","3274888347","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","119886186","10044999037","1.19",,"23-Oct-2025 16:30:42"
"NIIT Limited","136282104","50431688","    37.01","85850416","0","     0.00","     0.00",,"23-Oct-2025 16:30:31","8815701","136073194","6.48",,"23-Oct-2025 16:30:31"
"NK Industries Limited","6009900","4403754","    73.27","1606146","0","     0.00","     0.00",,"23-Oct-2025 16:30:13","6533","5517000","0.12",,"23-Oct-2025 16:30:13"
"NLC India Limited","1386636609","1001156562","    72.20","385480047","0","     0.00","     0.00",,"23-Oct-2025 16:30:27","24727931","1385033499","1.79",,"23-Oct-2025 16:30:27"
"NMDC Limited","8791817550","5344900713","    60.79","3446916837","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","212583220","8791744597","2.42",,"23-Oct-2025 16:30:41"
"NOCIL Limited","167024930","56391184","    33.76","110633746","7424454","    13.17","     4.45",,"23-Oct-2025 16:30:09","24501729","165706683","14.79",,"23-Oct-2025 16:30:09"
"NRB Bearing Limited","96922600","49623242","    51.20","47299358","28700000","    57.84","    29.61",,"23-Oct-2025 16:30:27","30303216","96696600","31.34",,"23-Oct-2025 16:30:27"
"NRB Industrial Bearings Limited","24230650","17620504","    72.72","6610146","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","133312","24151138","0.55",,"23-Oct-2025 16:30:48"
"NTPC Limited","9696666134","4955346251","    51.10","4741319883","0","     0.00","     0.00",,"23-Oct-2025 16:30:32","51698077","9696595776","0.53",,"23-Oct-2025 16:30:32"
"Nagarjuna Fertilizers and Chemicals Limited","598065003","309605471","    51.77","288459532","116360077","    37.58","    19.46",,"23-Oct-2025 16:30:50","127012535","578599704","21.95",,"23-Oct-2025 16:30:50"
"Nagreeka Capital & Infrastructure Limited","12615300","6753159","    53.53","5862141","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","120574","12150775","0.99",,"23-Oct-2025 16:30:40"
"Nagreeka Exports Limited","31249250","17910871","    57.32","13338379","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","104635","31107037","0.34",,"23-Oct-2025 16:30:39"
"Nahar Capital and Financial Services Limited","16746167","12090457","    72.20","4655710","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","590959","16623044","3.56",,"23-Oct-2025 16:30:41"
"Nahar Industrial Enterprises Limited","43205581","30781065","    71.24","12424516","0","     0.00","     0.00",,"23-Oct-2025 16:30:34","376040","43088400","0.87",,"23-Oct-2025 16:30:34"
"Nahar Poly Films Limited","24587991","17771731","    72.28","6816260","0","     0.00","     0.00",,"23-Oct-2025 16:30:38","186447","24027341","0.78",,"23-Oct-2025 16:30:38"
"Nahar Spinning Mills Limited","36065303","24317690","    67.43","11747613","0","     0.00","     0.00",,"23-Oct-2025 16:30:38","463349","35606307","1.3",,"23-Oct-2025 16:30:38"
"Nakoda Group of Industries Limited","17815198","10048195","    56.40","7767003","900000","     8.96","     5.05",,"23-Oct-2025 16:30:54","1550348","17534300","8.84",,"23-Oct-2025 16:30:54"
"Nakoda Limited","300000000","136849600","    45.62","163150400","6218400","     4.54","     2.07",,"23-Oct-2025 16:30:48","7818178","296060843","2.64",,"23-Oct-2025 16:30:48"
"Nalwa Sons Investments Limited","5136163","2856490","    55.62","2279673","0","     0.00","     0.00",,"23-Oct-2025 16:30:30","143993","4991022","2.89",,"23-Oct-2025 16:30:30"
"Nandan Denim Limited","1441471680","735324200","    51.01","706147480","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","34760463","1441304010","2.41",,"23-Oct-2025 16:30:47"
"Nandani Creation Limited","19090714","7886409","    41.31","11204305","3200000","    40.58","    16.76",,"23-Oct-2025 16:30:50","3953971","19090214","20.71",,"23-Oct-2025 16:30:50"
"Narmada Agrobase Limited","37936399","19080438","    50.30","18855961","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","2008934","37936399","5.3",,"23-Oct-2025 16:30:52"
"Natco Pharma Limited","179109870","88630126","    49.48","90479744","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","7392448","178753195","4.14",,"23-Oct-2025 16:30:22"
"Nath Bio-Genes (India) Limited","19004000","8664902","    45.60","10339098","1194000","    13.78","     6.28",,"23-Oct-2025 16:30:48","3601727","18724791","19.24",,"23-Oct-2025 16:30:48"
"National Aluminium Company Limited","1836631787","941793011","    51.28","894838776","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","48885784","1835241038","2.66",,"23-Oct-2025 16:30:26"
"National Fertilizers Limited","490578400","366529532","    74.71","124048868","0","     0.00","     0.00",,"23-Oct-2025 16:30:37","19589068","490315021","4",,"23-Oct-2025 16:30:37"
"Navin Fluorine International Limited","51230624","13891724","    27.12","37338900","150000","     1.08","     0.29",,"23-Oct-2025 16:30:39","1686390","50788541","3.32",,"23-Oct-2025 16:30:39"
"Navkar Corporation Limited","150519181","105920974","    70.37","44598207","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","9446061","150519179","6.28",,"23-Oct-2025 16:30:49"
"Navneet Education Limited","221213181","140131649","    63.35","81081532","0","     0.00","     0.00",,"23-Oct-2025 16:30:19","2940260","219917284","1.34",,"23-Oct-2025 16:30:19"
"Nazara Technologies Limited","370465024","131356800","    35.46","239108224","73487532","    55.94","    19.84",,"23-Oct-2025 16:30:53","162496003","370465024","43.86",,"23-Oct-2025 16:30:53"
"Nectar Lifesciences Limited","224260970","100706448","    44.91","123554522","99468000","    98.77","    44.35",,"23-Oct-2025 16:30:33","110491915","224260850","49.27",,"23-Oct-2025 16:30:33"
"Nelcast Limited","87001200","65135000","    74.87","21866200","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","689401","86998471","0.79",,"23-Oct-2025 16:30:39"
"Nesco Limited","70459960","48290313","    68.54","22169647","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","2279091","69910230","3.26",,"23-Oct-2025 16:30:42"
"Network18 Media & Investments Limited","1542000018","877258759","    56.89","664741259","0","     0.00","     0.00",,"23-Oct-2025 16:30:37","194832492","1541896983","12.64",,"23-Oct-2025 16:30:37"
"Neueon Towers Limited","56544552","20529443","    36.31","36015109","20527742","    99.99","    36.30",,"23-Oct-2025 16:30:48","0","52182","0",,"23-Oct-2025 16:30:48"
"Neuland Laboratories Limited","12829889","4187984","    32.64","8641905","0","     0.00","     0.00",,"23-Oct-2025 16:30:12","951699","12773473","7.45",,"23-Oct-2025 16:30:12"
"New Delhi Television Limited","64471267","41722396","    64.71","22748871","0","     0.00","     0.00",,"23-Oct-2025 16:30:30","1409403","112799170","1.25",,"23-Oct-2025 16:30:30"
"Next Mediaworks Limited","66892908","50161307","    74.99","16731601","0","     0.00","     0.00",,"23-Oct-2025 16:30:28","872888","66891031","1.3",,"23-Oct-2025 16:30:28"
"Nilkamal Limited","14922525","9631046","    64.54","5291479","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","103374","14862664","0.7",,"23-Oct-2025 16:30:18"
"Nippon Life India Asset Management Limited","636646816","459028095","    72.10","177618721","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","3994093","636646766","0.63",,"23-Oct-2025 16:30:52"
"Nitco Limited","229060105","37119741","    16.21","191940364","32571028","    87.75","    14.22",,"23-Oct-2025 16:30:34","37285289","229046416","16.28",,"23-Oct-2025 16:30:34"
"Nitin Fire Protection Industries Limited","292269622","151047226","    51.68","141222396","92513638","    61.25","    31.65",,"23-Oct-2025 16:30:39","93867402","292269165","32.12",,"23-Oct-2025 16:30:39"
"Nitin Spinners Limited","56220000","31832000","    56.62","24388000","0","     0.00","     0.00",,"23-Oct-2025 16:30:34","2005680","56220000","3.57",,"23-Oct-2025 16:30:34"
"Noida Toll Bridge Company Limited","186195002","49095007","    26.37","137099995","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","4339787","186014736","2.33",,"23-Oct-2025 16:30:26"
"Norben Tea & Exports Limited","15544100","6044759","    38.89","9499341","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","72488","10981794","0.66",,"23-Oct-2025 16:30:23"
"North Eastern Carrying Corporation Limited","100000000","54191271","    54.19","45808729","6099660","    11.26","     6.10",,"23-Oct-2025 16:30:50","7414557","95913108","7.73",,"23-Oct-2025 16:30:50"
"Nu Tek India Limited","154518600","14694204","     9.51","139824396",,,,,"23-Oct-2025 16:30:42","299579","153610685","0.2",,"23-Oct-2025 16:30:42"
"Nucleus Software Exports Limited","26325306","19374532","    73.60","6950774","0","     0.00","     0.00",,"23-Oct-2025 16:30:29","283444","26285172","1.08",,"23-Oct-2025 16:30:29"
"Nuvama Wealth Management Limited","36064250","19707345","    54.65","16356905","12377176","    62.80","    34.32",,"23-Oct-2025 16:30:54","13687521","36064249","37.95",,"23-Oct-2025 16:30:54"
"OM INFRA LIMITED","96303809","64570897","    67.05","31732912","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","1465130","96267059","1.52",,"23-Oct-2025 16:30:46"
"ORIENT CERATECH LIMITED","119639200","76066129","    63.58","43573071","0","     0.00","     0.00",,"23-Oct-2025 16:30:34","600971","119124365","0.5",,"23-Oct-2025 16:30:34"
"Oberoi Realty Limited","363602237","246174946","    67.70","117427291","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","1613401","363602237","0.44",,"23-Oct-2025 16:30:45"
"Oil & Natural Gas Corporation Limited","12580279206","7408867093","    58.89","5171412113","0","     0.00","     0.00",,"23-Oct-2025 16:30:12","49414705","12577546385","0.39",,"23-Oct-2025 16:30:12"
"Oil Country Tubular Limited","51989530","29494431","    56.73","22495099","14489000","    49.12","    27.87",,"23-Oct-2025 16:30:12","2717016","50733763","5.36",,"23-Oct-2025 16:30:12"
"Oil India Limited","1626607791","921564990","    56.66","705042801","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","12603766","1624673290","0.78",,"23-Oct-2025 16:30:42"
"Ola Electric Mobility Limited","4410829885","1837256174","    41.65","2573573711","133870404","     7.29","     3.04",,"23-Oct-2025 16:30:54","259277065","4407514902","5.88",,"23-Oct-2025 16:30:54"
"Olectra Greentech Limited","82080737","41053000","    50.02","41027737","0","     0.00","     0.00",,"23-Oct-2025 16:30:29","9663452","82035414","11.78",,"23-Oct-2025 16:30:29"
"Omax Autos Limited","21388213","11282537","    52.75","10105676","0","     0.00","     0.00",,"23-Oct-2025 16:30:29","176138","21240165","0.83",,"23-Oct-2025 16:30:29"
"Omaxe Limited","182900540","135606918","    74.14","47293622","30858657","    22.76","    16.87",,"23-Oct-2025 16:30:39","38217444","182900153","20.9",,"23-Oct-2025 16:30:39"
"Omkar Speciality Chemicals Limited","20578004","3026761","    14.71","17551243","1717052","    56.73","     8.34",,"23-Oct-2025 16:30:45","398093","20577994","1.93",,"23-Oct-2025 16:30:45"
"OnMobile Global Limited","106321351","50923703","    47.90","55397648","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","5116482","106308021","4.81",,"23-Oct-2025 16:30:41"
"One Point One Solutions Limited","262877099","137482339","    52.30","125394760","32353650","    23.53","    12.31",,"23-Oct-2025 16:30:52","44414732","262920863","16.89",,"23-Oct-2025 16:30:52"
"Onelife Capital Advisors Limited","13360000","6959999","    52.10","6400001","2000000","    28.74","    14.97",,"23-Oct-2025 16:30:46","2120163","13359998","15.87",,"23-Oct-2025 16:30:46"
"Onesource Specialty Pharma Limited","114525216","34096199","    29.77","80429017","8877184","    26.04","     7.75",,"23-Oct-2025 16:30:55","9965727","114525216","8.7",,"23-Oct-2025 16:30:55"
"Onward Technologies Limited","22731970","9069568","    39.90","13662402","0","     0.00","     0.00",,"23-Oct-2025 16:30:17","638361","22667644","2.82",,"23-Oct-2025 16:30:17"
"Optiemus Infracom Limited","88209626","64007167","    72.56","24202459","1816279","     2.84","     2.06",,"23-Oct-2025 16:30:51","4162047","87428378","4.76",,"23-Oct-2025 16:30:51"
"Opto Circuits (India) Limited","300625744","55673317","    18.52","244952427","0","     0.00","     0.00",,"23-Oct-2025 16:30:30","3545741","299876158","1.18",,"23-Oct-2025 16:30:30"
"Oracle Financial Services Software Limited","86936242","63051197","    72.53","23885045","0","     0.00","     0.00",,"23-Oct-2025 16:30:29","552157","86866854","0.64",,"23-Oct-2025 16:30:29"
"Orbit Exports Limited","26511152","17511659","    66.05","8999493","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","74157","26366521","0.28",,"23-Oct-2025 16:30:48"
"Orchid Pharma Limited","50719105","35419957","    69.84","15299148","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","647741","50715595","1.28",,"23-Oct-2025 16:30:53"
"Oricon Enterprises Limited","157047715","103185059","    65.70","53862656","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","13163462","156695564","8.4",,"23-Oct-2025 16:30:49"
"Orient Bell Limited","14687476","9636787","    65.61","5050689","0","     0.00","     0.00",,"23-Oct-2025 16:30:37","95523","14525624","0.66",,"23-Oct-2025 16:30:37"
"Orient Cement Limited","205459873","149292730","    72.66","56167143","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","8715512","204967973","4.25",,"23-Oct-2025 16:30:48"
"Orient Electric Limited","213365899","81733294","    38.31","131632605","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","1491627","212927844","0.7",,"23-Oct-2025 16:30:52"
"Orient Green Power Company Limited","1173031669","285970024","    24.38","887061645","285952084","    99.99","    24.38",,"23-Oct-2025 16:30:45","329792743","1173030960","28.11",,"23-Oct-2025 16:30:45"
"Orient Paper & Industries Limited","212185502","82193294","    38.74","129992208","0","     0.00","     0.00",,"23-Oct-2025 16:30:05","11529079","211688757","5.45",,"23-Oct-2025 16:30:05"
"Orient Press Limited","10000000","7300000","    73.00","2700000","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","792776","9974750","7.95",,"23-Oct-2025 16:30:43"
"Orient Technologies Limited","41641742","30497080","    73.24","11144662","1750","     0.01","     0.00",,"23-Oct-2025 16:30:54","933244","41641742","2.24",,"23-Oct-2025 16:30:54"
"Oriental Hotels Limited","178599180","120650248","    67.55","57948932","152320","     0.13","     0.09",,"23-Oct-2025 16:30:20","8210628","177446016","4.63",,"23-Oct-2025 16:30:20"
"Oriental Trimex Limited","73507265","20000517","    27.21","53506748","2500000","    12.50","     3.40",,"23-Oct-2025 16:30:38","3057421","73506374","4.16",,"23-Oct-2025 16:30:38"
"Oswal Agro Mills Limited","134234776","69640485","    51.88","64594291","0","     0.00","     0.00",,"23-Oct-2025 16:30:15","4567810","118006006","3.87",,"23-Oct-2025 16:30:15"
"Oswal Greentech Limited","271009159","177688493","    65.57","93320666","0","     0.00","     0.00",,"23-Oct-2025 16:30:17","3013782","237897797","1.27",,"23-Oct-2025 16:30:17"
